Question,Options,Answer,Explanation
"11. When a large factory closes in a small town, what is the likely effect on the housing market?","a. Prices will rise.\nb. Demand will increase.\nc. Prices will drop.\nd. Supply will decrease.","c. Prices will drop.","Job loss leads to lower demand and more houses on the market."
"12. The term 'Realtor' refers to:","a. anyone with a real estate license.\nb. a member of the National Association of REALTORS.\nc. a licensed broker only.\nb. a property manager.","b. a member of the National Association of REALTORS.","It is a trademarked term for NAR members."
"13. Which of the following is a 'demand' factor?","a. Construction costs\nb. Government financial policies\nc. Local demographics\nd. Building codes","c. Local demographics","Demographics, population, and wages drive demand."
"14. A 'Seller's Market' exists when:","a. supply is high and demand is low.\nb. supply is low and demand is high.\nc. supply and demand are equal.\nd. interest rates are very high.","b. supply is low and demand is high.","Sellers have the advantage when there are few homes and many buyers."
"15. Uniqueness in real estate is also referred to as:","a. nonhomogeneity.\nb. immobility.\nc. situs.\nd. scarcity.","a. nonhomogeneity.","No two parcels of land are exactly the same."
"16. What is 'Situs'?","a. The physical size of the land.\nb. The legal description of the land.\nc. Economic preference for a particular location.\nd. The right to use water on the land.","c. Economic preference for a particular location.","Situs is the 'area preference' of the buyer."
"17. A property manager's primary goal is to:","a. find buyers for the owner.\nb. maintain the property and maximize income.\nc. provide legal advice.\nd. appraise the property for taxes.","b. maintain the property and maximize income.","Managers act as the owner's agent for the property's health."
"18. Real estate is generally considered a:","a. liquid asset.\nb. short-term investment.\nc. fixed-rate asset.\nd. long-term investment.","d. long-term investment.","Real estate is illiquid and usually grows over long periods."
"19. The Federal Reserve Board (The Fed) affects the market by:","a. setting local property tax rates.\nb. establishing building codes.\nc. controlling the discount rate of interest.\nd. inspecting homes for safety.","c. controlling the discount rate of interest.","The Fed's actions influence mortgage interest rates."
"20. Which of the following is an 'economic' characteristic of land?","a. Uniqueness\nb. Immobility\nc. Scarcity\nd. Indestructibility","c. Scarcity.","Economic traits include Scarcity, Improvements, Permanence, and Situs."
"Appraisal","","The process of estimating a property's market value.","Requires professional certification."
"Brokerage","","The business of bringing people together in a real estate transaction.","The broker acts as a middleman."
"Commercial Property","","Business property including offices, stores, and parking.","Income-producing property."
"Counseling","","Providing clients with competent independent advice.","Based on professional judgment."
"Demographics","","Study of population characteristics (age, family size, etc.).","Major factor in determining demand."
"Development","","Improving land for use (construction).","Includes on-site and off-site improvements."
"Economic Characteristics","","Scarcity, Improvements, Permanence, and Situs.","Factors that give land its value."
"Immobility","","The fact that land cannot be moved.","A physical characteristic of land."
"Improvements","","Any man-made addition to the land.","Houses, fences, sewers, etc."
"Industrial Property","","Warehouses, factories, and power plants.","Used for manufacturing or storage."
"Market","","A place where goods can be bought and sold.","Determines the price of real estate."
"NAR","","National Association of REALTORS®.","The largest trade organization."
"Nonhomogeneity","","See 'Uniqueness'.","No two parcels of land are identical."
"Physical Characteristics","","Immobility, Indestructibility, and Uniqueness.","Inherent traits of the land itself."
"Property Management","","Managing property for an owner for a fee.","Focuses on maintaining the asset."
"Real Estate Professional","","Anyone licensed to perform real estate activities.","Includes brokers, salespersons, and appraisers."
"Residential Property","","Housing, from single-family to multi-family.","The most common real estate category."
"Salesperson","","A person licensed to perform real estate activities for a broker.","Must work under a sponsoring broker."
"Scarcity","","A limited supply of land in a specific area.","An economic characteristic."
"Situs","","Area preference or location preference.","The most important economic characteristic."
"Special Purpose Property","","Churches, schools, cemeteries, and government land.","Unique usage requirements."
"Supply and Demand","","The forces that determine price in a market.","Real estate responds slowly to these."
"Uniqueness","","The fact that every parcel of land is different.","Also called nonhomogeneity."
"Labor Force","","The availability of workers to build homes.","A factor that affects supply."
"Mixed-Use","","Property that allows for two or more uses in one building.","Common in urban areas."
"NAREB","","National Association of Real Estate Brokers.","Members are known as 'Realtists'."
"Equity","","The difference between market value and debt on a property.","The owner's 'net' value."
"Liquidity","","The ease with which an asset can be converted to cash.","Real estate has very low liquidity."
